Track_Name,Artist,X,Y,Z,Acousticness,Energy,Valence
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,0.5869591086822992,2.5543070285146374,-0.12313731934982299,0.619,0.592,0.719
Blacklist,Exodus,2.3268791342947113,-1.4716466360927138,5.10979064206013,0.000359,0.969,0.598
The Toxic Waltz,Exodus,1.3976891718428384,-5.564369145097224,7.4144212924753035,0.00655,0.988,0.227
Faster Than You'll Ever Live to Be,Exodus,0.4757414496895973,-5.0116751796249295,1.374845884512073,2.87e-06,0.946,0.467
Seeds of Hate,Exodus,0.4780625401298255,-2.7612281862042276,2.4636086718017136,2.22e-06,0.947,0.23
Climax - Dj Exos remix 1,ONYVAA;Mattia Trani;Dj Exos,0.8015297594210614,-3.7820328305018203,6.406534962982963,9.78e-05,0.95,0.182
Climax - Dj Exos remix 2,ONYVAA;Mattia Trani;Dj Exos,0.7387860737688129,-3.4432729274482465,6.43777325497379,0.000674,0.947,0.612
Break The Silence (feat. RBBTS),Seven Lions;MitiS;RBBTS,-0.6959368274165773,-0.3496417835739484,0.652365156106816,0.271,0.738,0.172
Waste It On Me,Steve Aoki;BTS,1.2106721616889395,0.11874068530070132,1.168886245394594,0.252,0.684,0.466
Waste It On Me,Steve Aoki;BTS,1.2106721616889395,0.11874068530070132,1.168886245394594,0.252,0.684,0.466
Bad Decisions (with BTS & Snoop Dogg),benny blanco;BTS;Snoop Dogg,3.1059082170519,0.8279533035584463,-0.3996272382077819,0.0185,0.861,0.955
Who (feat. BTS),Lauv;BTS,-2.42292855361465,0.22622587133276512,-0.34429691942597096,0.546,0.339,0.0969
Waste It On Me,Steve Aoki;BTS,1.2106721616889395,0.11874068530070132,1.168886245394594,0.252,0.684,0.466
Waste It On Me,Steve Aoki;BTS,1.2106721616889395,0.11874068530070132,1.168886245394594,0.252,0.684,0.466
SUGA's Interlude,Halsey;SUGA;BTS,-0.13583425346197722,-1.1214183297652567,-0.7236448476684818,0.0864,0.732,0.246
Blacklist,Exodus,2.3268791342947113,-1.4716466360927138,5.10979064206013,0.000359,0.969,0.598
Waste It On Me,Steve Aoki;BTS,1.2106721616889395,0.11874068530070132,1.168886245394594,0.252,0.684,0.466
Waste It On Me,Steve Aoki;BTS,1.2106721616889395,0.11874068530070132,1.168886245394594,0.252,0.684,0.466
SUGA's Interlude,Halsey;SUGA;BTS,-0.13583425346197722,-1.1214183297652567,-0.7236448476684818,0.0864,0.732,0.246
SUGA's Interlude,Halsey;SUGA;BTS,-0.13583425346197722,-1.1214183297652567,-0.7236448476684818,0.0864,0.732,0.246
